,0,1,cluster,segment
0,-1.7389991930659485,-0.43480147996914814,3,low-value customer
1,-1.7389991930659485,1.195704069915157,4,impulsive spender
2,-1.7008297638941763,-1.7159129834496736,3,low-value customer
3,-1.7008297638941763,1.0404178270690327,4,impulsive spender
4,-1.6626603347224038,-0.3959799192576171,3,low-value customer
5,-1.6626603347224038,1.0015962663575015,4,impulsive spender
6,-1.6244909055506316,-1.7159129834496736,3,low-value customer
7,-1.6244909055506316,1.700384359165061,4,impulsive spender
8,-1.5863214763788591,-1.832377665584267,3,low-value customer
9,-1.5863214763788591,0.8463100235113773,4,impulsive spender
10,-1.5863214763788591,-1.405340497757425,3,low-value customer
11,-1.5863214763788591,1.8944921627227165,4,impulsive spender
12,-1.5481520472070869,-1.3665189370458939,3,low-value customer
13,-1.5481520472070869,1.0404178270690327,4,impulsive spender
14,-1.5481520472070869,-1.444162058468956,3,low-value customer
15,-1.5481520472070869,1.118060948492095,4,impulsive spender
16,-1.5099826180353144,-0.5900877228152724,3,low-value customer
17,-1.5099826180353144,0.6133806592421909,4,impulsive spender
18,-1.4336437596917697,-0.823017087084459,3,low-value customer
19,-1.4336437596917697,1.8556706020111853,4,impulsive spender
20,-1.3954743305199975,-0.5900877228152724,3,low-value customer
21,-1.3954743305199975,0.8851315842229084,4,impulsive spender
22,-1.357304901348225,-1.7547345441612048,3,low-value customer
23,-1.357304901348225,0.8851315842229084,4,impulsive spender
24,-1.2427966138329078,-1.405340497757425,3,low-value customer
25,-1.2427966138329078,1.234525630626688,4,impulsive spender
26,-1.2427966138329078,-0.7065524049498657,3,low-value customer
27,-1.2427966138329078,0.4192728556845355,4,impulsive spender
28,-1.2046271846611356,-0.7453739656613968,3,low-value customer
29,-1.2046271846611356,1.4286334341843434,4,impulsive spender
30,-1.1664577554893631,-1.7935561048727358,3,low-value customer
31,-1.1664577554893631,0.8851315842229084,4,impulsive spender
32,-1.0519494679740462,-1.7935561048727358,3,low-value customer
33,-1.0519494679740462,1.622741237741999,4,impulsive spender
34,-1.0519494679740462,-1.405340497757425,3,low-value customer
35,-1.0519494679740462,1.195704069915157,4,impulsive spender
36,-1.0137800388022737,-1.288875815622832,3,low-value customer
37,-1.0137800388022737,0.8851315842229084,4,impulsive spender
38,-0.8992717512869568,-0.9394817692190521,3,low-value customer
39,-0.8992717512869568,0.9627747056459706,4,impulsive spender
40,-0.8611023221151844,-0.5900877228152724,3,low-value customer
41,-0.8611023221151844,1.622741237741999,4,impulsive spender
42,-0.8229328929434121,-0.5512661621037414,3,low-value customer
43,-0.8229328929434121,0.4192728556845355,1,average customer
44,-0.8229328929434121,-0.86183864779599,3,low-value customer
45,-0.8229328929434121,0.5745590985306598,4,impulsive spender
46,-0.7847634637716397,0.18634349141534906,1,average customer
47,-0.7847634637716397,-0.12422899427689955,1,average customer
48,-0.7847634637716397,-0.31833679783455493,1,average customer
49,-0.7847634637716397,-0.31833679783455493,1,average customer
50,-0.7084246054280949,0.06987880928075582,1,average customer
51,-0.7084246054280949,0.38045129497300445,1,average customer
52,-0.6702551762563226,0.14752193070381797,1,average customer
53,-0.6702551762563226,0.38045129497300445,1,average customer
54,-0.6702551762563226,-0.20187211569996172,1,average customer
55,-0.6702551762563226,-0.357158358546086,1,average customer
56,-0.6320857470845502,-0.007764312142306325,1,average customer
57,-0.6320857470845502,-0.16305055498843063,1,average customer
58,-0.5557468887410055,0.03105724856922475,1,average customer
59,-0.5557468887410055,-0.16305055498843063,1,average customer
60,-0.5557468887410055,0.22516505212688012,1,average customer
61,-0.5557468887410055,0.18634349141534906,1,average customer
62,-0.5175774595692332,0.06987880928075582,1,average customer
63,-0.5175774595692332,0.34162973426147336,1,average customer
64,-0.4794080303974609,0.03105724856922475,1,average customer
65,-0.4794080303974609,0.34162973426147336,1,average customer
66,-0.4794080303974609,-0.007764312142306325,1,average customer
67,-0.4794080303974609,-0.08540743356536848,1,average customer
68,-0.4794080303974609,0.34162973426147336,1,average customer
69,-0.4794080303974609,-0.12422899427689955,1,average customer
70,-0.44123860122568853,0.18634349141534906,1,average customer
71,-0.44123860122568853,-0.31833679783455493,1,average customer
72,-0.4030691720539161,-0.046585872853837404,1,average customer
73,-0.4030691720539161,0.22516505212688012,1,average customer
74,-0.2503914553668267,-0.12422899427689955,1,average customer
75,-0.2503914553668267,0.14752193070381797,1,average customer
76,-0.2503914553668267,0.1087003699922869,1,average customer
77,-0.2503914553668267,-0.08540743356536848,1,average customer
78,-0.2503914553668267,0.06987880928075582,1,average customer
79,-0.2503914553668267,-0.31833679783455493,1,average customer
80,-0.2503914553668267,0.03105724856922475,1,average customer
81,-0.2503914553668267,0.18634349141534906,1,average customer
82,-0.2503914553668267,-0.357158358546086,1,average customer
83,-0.2503914553668267,-0.24069367641149278,1,average customer
84,-0.2503914553668267,0.2639866128384112,1,average customer
85,-0.2503914553668267,-0.16305055498843063,1,average customer
86,-0.13588316785150967,0.30280817354994227,1,average customer
87,-0.13588316785150967,0.18634349141534906,1,average customer
88,-0.09771373867973732,0.38045129497300445,1,average customer
